Policy,Mean Cost,Std Cost,Mean Jobs,Std Jobs,Mean Interruptions,Mean Cost/Job,Mean Reward,SLA Violations,Scenario
DQN_Agent,110.3609355775748,14.533214905587577,2335.9,159.73600095157008,23.15,0.047049301900232224,985.417064422425,41.45,spike
AlwaysOnDemand,82.775,0.248746859276655,1655.5,4.9749371855331,0.0,0.05000000000000001,518.9534999999995,160.1,spike
AlwaysSpot,25.274688821874967,0.40882454862979795,1492.4,19.011575421305828,65.35,0.016935458705636803,354.924811178125,161.55,spike
ThresholdPolicy,58.27462878905859,5.6426297902345155,1587.3,21.054928164208967,28.6,0.03670247273999845,446.41337121094136,161.1,spike
SmartThresholdPolicy,75.47381411059544,2.8588792060149375,1634.9,15.079456223617616,8.2,0.046160972158142397,496.7591858894042,160.7,spike
RandomPolicy,63.270954321276136,16.800979684675905,1854.65,393.04354402534074,52.6,0.03390950978669588,673.952045678724,105.3,spike
DQN_Agent,163.5,0.0,1684.15,16.26122689098212,0.0,0.09709065610448561,678.575,0.0,stable
AlwaysOnDemand,82.65,0.22912878474779202,1653.0,4.58257569495584,0.0,0.05000000000000001,737.3985000000002,26.05,stable
AlwaysSpot,25.093356027885527,0.44631968137406286,1481.7,19.670027961342605,68.55,0.016935149335548433,385.05164397211456,154.0,stable
ThresholdPolicy,59.33848519404402,7.607266612424996,1589.8,20.87007426915391,26.75,0.037278773973998314,538.9870148059559,151.15,stable
SmartThresholdPolicy,75.18519183195883,3.507144768608878,1633.2,6.9397406291589885,8.1,0.04603190120568239,676.4923081680413,110.05,stable
RandomPolicy,62.57612219693438,17.342571063673784,1509.5,215.46635468211736,55.55,0.040936097266140684,553.2928778030656,60.5,stable
